dialogsfile version 2
5526
dlga_port_chief_travel:close_window|К сожалению, в настоящее время в порту нет пассажирских кораблей.
dlga_bodo_merchant_4a:bodo_merchant_5|Почему, меня зовут Бодо. Я родом из Кантабрии, в Астурии, на севере земли, что Римляне называли Испания. Мы стали хорошими друзьями во время наших путешествий.
dlga_bodo_merchant_5:bodo_merchant_6|Я знаю, что ты мне уже рассказал свою историю, но я хотел бы услышать ее снова.
dlga_bodo_merchant_5:close_window|О, это верно ... Бодо. Я пойду, чтобы помочь проверить эти корабли. Увидемся.
dlga_bodo_merchant_6:bodo_merchant_7|Возможно, в другой раз. Я думаю, что сейчас я останусь здесь, и буду наблюдать за горизонтом. Я не уверен, так как капитан, что остановка здесь это хорошая идея.
dlga_start:close_window.81|Я думаю, что я что-то увидел буквально минуту назад, туман над этими водами, играет злую шутки.... Наверное, я ошибся. Надеюсь, что иам ничего нет , это все мое воображение. Этот корабль достаточно быстр, но вряд ли обогнать другой корабль.
dlga_bodo_merchant_7:bodo_merchant_8|Я очень волнуюсь. Я рад, что вы наблюдаете, друг мой.
dlga_bodo_merchant_7:close_window|Какой может быть вред от этого? Чтобы ускорить ваши поиски, я помогу проверить корабли.
dlga_bodo_merchant_8:close_window|И я рад, сделать это для вас. Мы стали хорошими друзьями во время поездки, и я сожалею, что мы скоро расстанемся. Если мы в будущем встретимся снова, и вам нужна будет моя помощь, то вы можете на меня расчитывать.
dlga_start:esposabarco_1|{s2}^^{reg59?Сочь:Сын} мой, какой прекрасный день! Море такое прозрачное! Жаль, что все эти затонувшие корабли испортить это место!
dlga_esposabarco_1:esposabarco_12|Да, Матушка. Я рад что сегодня тебе лучше.
dlga_esposabarco_1:esposabarco_11|Ты помнишь меня? Это прекрасно!
dlga_esposabarco_1:close_window|Увидемся позже, Матушка.
dlga_esposabarco_12:esposabarco_13|{s2}^^Мне не только лучше, я еще и счастлива! Я так счастлива этой поездки, но нам нужно вернуться домой к ужину! Твой отец ждет нас.
