str_no_string|NO STRING!
str_surrender_offer_sadistic|Я сдаюсь! Я сдаюсь! Отзовите ваших собак, они загрызли мою лошадь!
str_surrender_offer_goodnatured|Я сдаюсь! Поздравляем с победой {сэр/мадам}!
str_surrender_offer_upstanding|Я сдаюсь! Даруй мне военными почестями, и не себе кредит!
str_lord_declines_negotiation_offer_default|Может быть, но я хочу драться с вами
str_lord_declines_negotiation_offer_martial|Может быть, но это моя обязанность драться с вами
str_lord_declines_negotiation_offer_quarrelsome|Ха! Я хочу драться с тобой
str_lord_declines_negotiation_offer_pitiless|Почему меня это должно волновать? Я хочу драться с вами
str_lord_declines_negotiation_offer_cunning|Ах. К сожалению, вы видите что, я хотел бы драться с вами
str_lord_declines_negotiation_offer_sadistic|Прикуси язык! В ближайшее время он тебе будет не нужен, ты будешь просить им позже о пощаде
str_lord_declines_negotiation_offer_goodnatured|Я извиняюсь - я просто не могу позволить вам уйти. Без обид?
str_lord_declines_negotiation_offer_upstanding|Может быть, но мой долг вассала обязывает меня драться с вами
str_prisoner_released_default|Спасибо за вашу помощь, {сэр/мадам}. Я не забуду вашу доброту.
str_prisoner_released_martial|Вы доказали что вы {человек/человек} чести, {сэр/мадам}. Я не забуду этого!
